127.0.0.1 - - [27/Nov/2017:09:47:57 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:47:57 +0900] "GET /06_javascript/09_jquery/05_event/test01.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:47:58 +0900] "GET /06_javascript/09_jquery/js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:47:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:49:20 +0900] "GET /06_javascript/09_jquery/05_event/test01.html HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:50:01 +0900] "GET /06_javascript/09_jquery/05_event/test01.html HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:50:13 +0900] "GET /06_javascript/09_jquery/05_event/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:50:46 +0900] "GET /06_javascript/09_jquery/05_event/test01.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:53:51 +0900] "GET /06_javascript/09_jquery/05_event/test02.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:54:28 +0900] "GET /06_javascript/09_jquery/05_event/test02.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:54:46 +0900] "GET /06_javascript/09_jquery/05_event/test02.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:55:16 +0900] "GET /06_javascript/09_jquery/05_event/test03html HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:55:22 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:56:56 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:57:38 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:58:17 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:58:29 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:58:30 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:58:30 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:59:06 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:59:18 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [27/Nov/2017:09:59:19 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:00:51 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:01:06 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:01:58 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:01:59 +0900] "GET /06_javascript/09_jquery/05_event/test03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:02:41 +0900] "GET /06_javascript/09_jquery/05_event/test04.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:04:34 +0900] "GET /06_javascript/09_jquery/05_event/test04.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:05:31 +0900] "GET /06_javascript/09_jquery/05_event/test04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:05:38 +0900] "GET /06_javascript/09_jquery/05_event/test05.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:07:44 +0900] "GET /06_javascript/09_jquery/05_event/test05.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:08:14 +0900] "GET /06_javascript/09_jquery/05_event/test05.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:08:55 +0900] "GET /06_javascript/09_jquery/05_event/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:09:02 +0900] "GET /06_javascript/09_jquery/05_event/test05.html HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:11:46 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:12:33 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:05 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:34 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:35 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:36 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:36 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:36 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:36 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:37 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:37 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:37 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:37 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:48 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:49 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:49 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:50 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:23:50 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:13 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:13 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:29 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:30 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:31 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:31 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:32 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:52 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:53 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:53 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:53 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:53 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:54 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:54 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:54 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:54 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:54 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:54 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:55 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:55 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:55 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:55 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:55 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:56 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:56 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:56 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:56 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:57 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:57 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:58 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:58 +0900] "GET /06_javascript/09_jquery/js/jquery-3.2.1.js HTTP/1.1" 200 278292
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:58 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:24:58 +0900] "GET /06_javascript/09_jquery/js/jquery-3.2.1.js HTTP/1.1" 200 278292
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:25:19 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:25:30 +0900] "GET /06_javascript/09_jquery/05_event/test05_2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:40:07 +0900] "GET /06_javascript/09_jquery/05_event/test06.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:40:48 +0900] "GET /06_javascript/09_jquery/05_event/test06.html HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:41:04 +0900] "GET /06_javascript/09_jquery/05_event/test06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:41:19 +0900] "GET /06_javascript/09_jquery/05_event/test06.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:45:09 +0900] "GET /06_javascript/09_jquery/05_event/test07.html HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:49:26 +0900] "GET /06_javascript/09_jquery/05_event/test07.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:49:45 +0900] "GET /06_javascript/09_jquery/05_event/test07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:50:01 +0900] "GET /06_javascript/09_jquery/05_event/test07.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:50:02 +0900] "GET /06_javascript/09_jquery/05_event/test07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:53:12 +0900] "GET /06_javascript/09_jquery/05_event/test07.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [27/Nov/2017:10:54:31 +0900] "GET /06_javascript/09_jquery/05_event/test08.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:00:02 +0900] "GET /06_javascript/09_jquery/05_event/test08.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:02:01 +0900] "GET /06_javascript/09_jquery/05_event/test08.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:02:33 +0900] "GET /06_javascript/09_jquery/05_event/test08.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:03:48 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:03:48 +0900] "GET /06_javascript/09_jquery/05_event/images/pic1.jpg HTTP/1.1" 200 45664
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:05:57 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:06:19 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:06:57 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:07:01 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:56 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:57 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:57 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:57 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:58 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:58 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:58 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:58 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:09:59 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:10:04 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:10:05 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:27 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:28 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:29 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:29 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:30 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:30 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:51 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:52 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:52 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:52 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:52 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:52 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:53 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:53 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:53 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:11:53 +0900] "GET /06_javascript/09_jquery/05_event/test09.html HTTP/1.1" 304 -
