127.0.0.1 - - [13/Nov/2017:09:50:03 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:50:03 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:50:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:51:36 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:52:04 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:52:04 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:56:17 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:57:29 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:57:48 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:58:52 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:00 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:10 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:24 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:09:59:58 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:02:38 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:02:39 +0900] "GET /06_javascript/05_bomandevent/test01_child.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:04:51 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:04:53 +0900] "GET /06_javascript/05_bomandevent/test01_child.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:05:08 +0900] "GET /06_javascript/05_bomandevent/test01_child.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:05:19 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:05:19 +0900] "GET /06_javascript/05_bomandevent/test01_child.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2017:10:05:34 +0900] "GET /06_javascript/05_bomandevent/test01.html HTTP/1.1" 304 -
